FUCNTION NAME;ERRORC
[SL-ETH] KEYPAD TEST;KEYPAD
CHECK MAC & INFO (NO AC);MACFFF
CHECK M031 FW VERSION;FWVERF
POWER GOOD TEST;POWERG
[SL-ETH] VIBRATOR LOOP TEST;VIBRAT
[BL-ETH] CHECK SW VERSION;SWVERF
CHECK TOP LEVEL BOM / ME BOM / GUID;TTVMEB
BUZZER AUDIO TEST;BUZFFF
LEDS TEST;LEDFFF
TAMPER SWITCH TEST;TAMPFF
CHECK DUT POWER CONSUMPTION;POWERF
[SL-ETH] MUTE BUTTON TEST;MUTEBT
[SHIPPING] CHECK SHIPPING FW VERSION;SHIPFW
WIFI 5G RSSI TEST;WF5GRS
MAC ADDRESS CHECK;MACADD
ETHERNET TPUT TEST;ETHERN
[SL-ETH] LCM TEST;LCMFFF
DOWNLOAD MCU(M031) FW BY NULINK;DLFMCU
IPERF TEST WITH 1G RJ45/10GSFP PORT;IPERFF
SYSTEM MAC CHECK;MACFFF
SYSTEM QR CHECK;QR_FFF
[ETH-SFW] SHIPPING FW DOWNGRADE;DG_FWF
[DEBUG] SHIPPING FW DOWNGRADE;DG_FWF
CHECK MB BOM;MB_BOM
[DEBUG] DOWNGRADE FCD FW;DG_FCD
[DEBUG] ENABLE ADB PORT;EN_ADB
BLE RSSI TEST;BLERSS
2.5G PORT IPERF TEST;2GIPER
HDD TEST;HDDTES
[USB] CHECK MAC & QR,AC CODE;USBMAC
RTC VERIFICATION TEST;RTCVER
USB C READ WRITE TEST;USBCRE
YORK 2G/5G/6G RSSI TEST;YK2GLF
YORK 2G/5G RSSI TEST;YK2GLF
XML LABLE FILE;XMLFFF
WRITE SERIAL NUMBER;WNUMFF
WRITE PCBA;WPCBAF
WRITE DATE CODE;WCODEF
WRITE A0 AND A2 INFO;WA0A2F
WIFI TEST;WIFIFF
WIFI INTERFACESC CHECK;WIIDFF
WIFI 2G THROUGHPUT TEST;2GTHRO
WIFI 2G RSSI TEST;2GRSSI
WIFI 2G LINK TEST;2GLINK
WET OUTPUT TEST;WELEDB
WDET TEST;WDET
WAN PORT LED TEST;WANPFF
WAN PORT 1G LED CHECK;LEDGFF
WAN IPERF TEST;IPREFF
USB TRANSPORT TEST;USBTP
USB POWER TEST;USBPOW
USB PORT CHECK;USBPOR
USB OUTPUT TEST;USBOP0
USB OTG TEST;USBOTG
USB CURRENT LIMIT TEST;USBLM1
UPGRADE TO SHIPPING FW;SFW0
UPGRADE TO SHIPPING FIRMWARE;UPG0
UPGRADE SHIPPING FW;RESETF
UL 217 TEST;UL01
UL 2034 TEST (LOW FREQ);UL03
UL 2034 TEST (HIGH FREQ);UL03
UL 2034 TEST;UL02
THROUGHPUT TEST;THOUFF
THERMAL SENSORS TEST;SENSOR
TEST RESET BUTTON;RESETF
TEST RELAY 12V;REL12F
TEST PSE;PSEFFF
TEST POWER CONSUMPTION;POE0FF
TEST POE INPUT;POEFFF
TEST LEDS;LED0
TEST LED INDICATOR;LEDFFF
TEST LED BOARD;LEDFFF
TEST IPERF THROUGHPUT;IPERFF
TEST IO OUTPUT (WET);IOOWET
TEST IO OUTPUT (DRY);IOODRY
TEST IO INPUT;IOINFF
TEST I2C DEVICES;I2CTFF
TEST BACKUP BATTERY - PP45;BAPP45
TEST ADC;TEADCF
TEMPERATURE TEST;TEMPER
TB WIRE DETECTION TEST;TBWIRE
TB LEDS TEST;LEDFFF
TAMP TEST;TAMP
T3 FCD FLAT IMAGE DOWNLOAD;FCDFLA
SYSTEM MAC TEST;CMACFF
SYSTEM LEDS TEST;SYSLED
SYSTEM LED TEST;SYSLED
SYSTEM BOM REVISION TEST;CBOMFF
SWIFT 5G WIFI TEST;5GWIFI
SWIFT 2G WIFI TEST;2GWIFI
SW RESET TO DEFAULT;FACTFF
STOP LCM BURNING;LCMSFF
STATUS LEDS TEST;LEDFFF
STATUS LED TEST;LEDFFF
SSD TEST;SSDTES
SSD SN VERIFY;SSDVRF
SPRAM TEST;SPRAMF
SPIRAM TEST;SPIAMF
SPI FLASH TEST;SPIFFF
SNAKE TEST 2.5G (PORT 1-8);S009FF
SNAKE TEST;SNAKEF
SNAKE CONFIG;SNAKFF
SNAKE 25G;SNAK25
SNAKE 2.5G & 10G TEST;SNAKE3
SNAKE 2.5G & 10G & SFP_INFO TEST;SNAK10
SNAKE 1G & 2.5G & 10G & SFP_INFO TEST;SNAK25
SNAKE 1G & 10G & SFP_INFO TEST;SNAK1G
SNAKE 10G & SFP_INFO TEST;RECONF
SHIPPING FW UPGRADE;OTAFWF
SHIPPING FW UPDATE;OTAFWF
SET BOM ID AND CHECK IF SUCCESSES;BOM0
SERIAL NUMBER CHECK;CHEKSN
SEND FILES TO GU1;SFTGU1
SECURE ELEMENT (SE) PROVISION;ELEMEN
SD CARD TEST;SDC0
SATA MAPPING TEST;SATAFF
RTC VERIFICATION;RTCVFF
RTC TEST;RTCTES
RTC SET TEST;RTCSET
RSSI TEST AND CHECK SHIPPING FW;RSS0
RPS TEST;RPSFFF
RJ45&SFP PORT IPERF TEST;IPERFF
RESET BUTTON TEST;RESETF
RESET BUTTON;RESTFF
REMOVE SD CARD;RMSD
REMOTE BUTTON TEST (SW3);RMSW3F
READ TEMPERATURE;CTEMFF
RADAR TEST;RADAFG
PHY LED TEST;CLEDFF
PSU TEST;PSUFFF
PSE TEST;PSEFFF
PROXIMITY TEST;PROXIM
PRE-TEST : REGION CHECK;COUTRY
PRE-CALIBRATION(5G);PREC5G
PRE-CALIBRATION(2G);PREC2G
POWER OUTPUT TEST;POEWFF
POWER METER TEST;POWMEF
POWER LOAD TEST;POWE
POWER IN WITH USB-C AND ATX SOCKET;POWERF
POWER GD TEST;POWGDF
POWER CONSUMPTION TEST;POE0FF
PORTLINK AND SNAKE TEST;RSFECF
PORT LINK TEST & SFP INFO;LINKFF
PORT LINK TEST;COUTRY
PORT LED TEST;LEDLKF
PON TX CALIBRATION;CPONTX
PON TEST;PONTES
PON RX CALIBRATION;CPONRX
POE TEST (TOGETHER);POE5WF
POE TEST (ONE BY ONE);POE15W
POE TEST;POETFF
POE OUTPUT TEST;POEOUT
POE LOAD TEST (PORT 1-8);P123FF
PIR TEST;PIR0
PIR SCAN TEST(POSITION3);R450
PIR SCAN TEST(POSITION2);L450
PIR SCAN TEST(POSITION1);ZERO
PIR INTERFERENCE TEST;UPG0
PD TEST;PDTEST
PD CLASS DETECTION;PDCDEF
OTA FW UPDATE;OTAFWF
NUSTREAM TEST 10G SFP+ (PORT 10);S010FF
NUSTREAM TEST 10G (PORT 9);SNAKP9
NUSTREAM TEST;SNAKEF
NFC TEST (FINAL ASSEMBLY);NFCTES
NFC TEST;NFCFFF
MFG FW DOWNGRADE;DG_FWF
METER CHIP TEST;METERF
MEMORY TEST;MEMORY
MEMORY I/O TEST;MEMYFF
LTE VERSION CHECK;LTEFWF
LTE RADIATED TEST;LTEFFF
LTE FW UPDATE;FW
LED VALIDATION TEST (BY SSH);LEDVAL
LED VALIDATION TEST;LEDVAL
LED TEST;LEDFFF
LED SCREEN CHECK;LEDSCF
LED MCU VERSION TEST;LEDVER
LED MCU LIGHT TEST (BY SSH);LEDRGB
LED MCU LIGHT TEST;LEDRGB
LED INDICATOR TEST;LEDFFF
LED CALIBRATION TEST (BY SSH);LEDCAL
LED CALIBRATION TEST;LEDCAL
LEAD-ACID BATTERY TEST;FOUND
LCM TOUCH TEST;LCMTOU
LCM SKEW TEST;LCMKFF
LCM SKEW CCD TEST;LCMKFF
LCM SIX POINT TEST;LCMSIX
LCM RGB TEST;REDFFF
LCM RGB LIGHT TEST;LCMRGB
LCM RESET PIN TEST;LCMRPT
LCM FW VERSION CHECK;LCMVER
LCM FW VERSION;LCMFWW
LCM DISABLE TEST;LCM8FF
LCM DFU TEST;LCMDFU
LCM COLORS CCD TEST;LCMRGB
LCM COLOR TEST;LCMCLO
LCM BURNIN TEST;LCM2FF
LCM BACKLIGHT TEST;LCMFFF
LCM BACKLIGHT CCD TEST;LCMBLT
LCM ALIGNMENT TEST;LCMALF
LCM 16 GRAY CCD TEST;LCMGRA
LAN PORT SNAKE TEST;SNAK25
KEYPAD TOUCH TEST;KETOUF
KEYPAD LEDS TEST;KELEDF
IPERF TEST WITH 1G/10G PORT;IPF0FF
IPERF TEST;IPERFF
I2CS TEST;CI2CFF
I2C DEVICES TEST;I2CFFF
I2C DEVICE TEST;I2CDEV
HDMI TEST;F
HDMI CEC TEST;FF
HDD SPEED RATE TEST;HDDSPE
HDD SPEED RATE INFOMATION TEST;HDDTFF
HARDWARE INFOMATION TEST;HDT0FF
HARD DISK TEST;HDISKF
HALL TEST;HAL0
GPU TEST;GPUTEF
GPS TEST;GPSFFF
GET IMEI INFO;IMEIFF
